Timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label,Command,Confidence
0.0,-8.618389111436258,0.5846538052421129,-0.5821913607441978,-1.7323866833549357,-1.6639531757581505,4.9105611410562275,0.23520454761500775,-4.275387769009065,2.8243569529996493,-3.0066085146469472,-4.552537852759147,-0.43872753155807187,2.6934448671390063,-6.095562153122756,0,Neutral,0.973
0.00390625,7.538170700860753,15.677521111352721,15.572370661227044,11.323825463980578,6.777432802066435,18.229231122764443,17.667886043724568,6.251420703315681,18.002690430485593,10.710726846864429,5.261596658689845,12.7049035993785,16.295453758951137,8.894118888188025,0,Neutral,0.973
0.0078125,18.945393401542532,26.31841395216011,25.689016529077445,21.5559230033471,14.124685427940106,27.48066378811886,29.692379195404172,14.91172185203263,27.837757061090905,20.52127119860212,14.082765994978859,22.346245805225156,26.86165431198391,17.844066314814626,0,Neutral,0.973
0.01171875,23.829614549510975,30.377690513117166,28.35728197268398,27.551922495320422,19.16431759797231,30.4455026844574,34.29381105305785,19.850807959254738,31.187076193454608,24.45258440757409,20.438262821877927,26.4189319188816,33.0037342876654,18.800952631415505,0,Neutral,0.973
0.015625,24.11750133679101,28.782694728093922,27.058626970623482,29.3734762699454,21.25012151585437,27.942627193716817,33.45295417363774,20.36469494066701,31.10681555754878,23.265334453478204,23.11442157764967,25.22666516147716,35.442263312985695,14.895528532043631,0,Neutral,0.973
0.01953125,23.514472291100528,24.27761422878049,26.244769423548263,27.9187988596465,21.09451852733888,23.280003391884424,30.786481958047606,17.91953932914688,31.040705850368465,19.681593975656785,22.48637625173481,21.254501824380174,35.99175061785821,11.445578157510806,0,Neutral,0.973
0.0234375,24.509207133369834,19.4697074743686,27.351659071053618,24.68131078921627,20.291027554122678,19.88318764459158,28.60552894653732,15.267927034783026,31.427990185168156,16.65654573934857,20.59372115160819,17.664935853845066,35.89725003761006,11.605854962358064,0,Neutral,0.973
0.02734375,26.550826596704383,15.893285689558079,28.24898358549416,21.5402881938627,19.70674605241922,18.895711875661313,26.86613883703349,14.246634442208002,29.941892666191865,15.891149593640428,19.325755116039595,16.340860014657046,34.83067987930182,14.376037305889877,0,Neutral,0.973
0.03125,26.81091715145522,14.394422393076693,25.88314865187409,19.874502614987488,18.530801348593503,18.794890562570842,24.403834503670975,14.544454928522422,24.438008465463597,17.386211958795784,18.455417052766975,16.94931162793187,31.312457306146698,16.55520557618926,0,Neutral,0.973
0.03515625,23.004045424427467,15.510573517917571,19.242608957125075,19.559844612984058,15.094013728681183,17.27626647441399,20.865183606475185,14.52206880668274,15.25242469007907,19.946319608581796,15.794346256566827,17.689910428828306,24.2164714697873,16.41983024117703,0,Neutral,0.973
